,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Coaching,Coaching,Coaching,Coaching
Year,Name,Category,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,G,W,L,W/L%
2014,Immaculata University Women 1972-1974,Team,,,,,,,,,,,,,,,,
2014,Nathaniel CliftonPlayer,Contributor,,,,,,,,,,,,,,,,
2014,Slick LeonardPlayer / Coach / Exec,Coach,,,,,,,,,,,,,1107,573,534,.518
2014,Sarunas MarciulionisPlayer / Oly,Player,363,,12.8,2.3,2.2,1.3,0.1,.505,.369,.768,20.0,.118,,,,
2014,Alonzo MourningPlayer / Oly,Player,838,,17.1,8.5,1.1,0.5,2.8,.527,.247,.692,89.7,.166,,,,
2014,Nolan RichardsonCBB coach,Coach,,,,,,,,,,,,,,,,
2014,Mitch RichmondPlayer / Oly,Player,976,,21.0,3.9,3.5,1.2,0.3,.455,.388,.850,79.3,.111,,,,
2014,Guy RodgersPlayer / CBB player,Player,892,,11.7,4.3,7.8,,,.378,,.721,33.3,.056,,,,
2014,David Stern,Contributor,,,,,,,,,,,,,,,,
2014,Gary WilliamsCBB coach,Coach,,,,,,,,,,,,,,,,
,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Coaching,Coaching,Coaching,Coaching
Year,Name,Category,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,G,W,L,W/L%
2013,Roger BrownPlayer,Player,605,,17.4,6.2,3.8,0.7,0.6,.469,.321,.791,65.3,.146,,,,
2013,Russ Granik,Contributor,,,,,,,,,,,,,,,,
2013,Richie GuerinPlayer / Coach / Exec / CBB player,Player,848,,17.3,5.0,5.0,,,.416,,.780,69.2,.121,,,,
2013,Sylvia Hatchell,Coach,,,,,,,,,,,,,,,,
2013,E.B. Henderson,Contributor,,,,,,,,,,,,,,,,
2013,Bernard KingPlayer / CBB player,Player,874,,22.5,5.8,3.3,1.0,0.3,.518,.172,.730,75.4,.123,,,,
2013,Guy LewisCBB coach,Coach,,,,,,,,,,,,,,,,
2013,Gary PaytonPlayer / Oly / CBB player,Player,1335,,16.3,3.9,6.7,1.8,0.2,.466,.317,.729,145.5,.148,,,,
2013,Rick PitinoCoach / Exec / CBB coach,Coach,,,,,,,,,,,,,412,192,220,.466
2013,Oscar SchmidtOly,Player,,,,,,,,,,,,,,,,
2013,Dawn StaleyWNBA / Oly,Player,,,,,,,,,,,,,,,,
2013,Jerry TarkanianCoach / CBB coach,Coach,,,,,,,,,,,,,20,9,11,.450
